analyte;n;min;lowconf;meanconf;sd;cv;highconf;max
Ca;98;3300;55331.30885866222;61103.163265306124;29302.689634016577;47.956092725979055;66875.01767195003;137000
Cl;102;100;23919.233024032306;28305.905752213137;22697.49526474128;80.18642986885041;32692.578480393968;117000
Na;107;100;15782.126456978618;20803.848869859783;26616.981060582435;127.94258037100339;25825.571282740948;228000
S;110;420;10634.635534182104;12864.515454545453;11987.06394313184;93.17928829489196;15094.395374908803;61800
Mg;98;900;10725.278469345638;12218.724489795919;7581.962769545595;62.051998765316554;13712.1705102462;43300
K;92;100;2130.3076748047233;2559.485171996124;2090.4635141835943;81.67515627970046;2988.6626691875244;14000
N;93;89.1;1697.7545457901113;2197.2169234006956;2463.3157444463563;112.11072144091317;2696.6793010112797;10342.1
TOC;85;15;1229.4274773473624;1468.567026757641;1104.8324587487289;75.23200770672487;1707.7065761679198;4630
P;37;0.132;27.40996231375209;77.01023557664976;154.11233710935446;200.11929057918994;126.61050883954744;660
NH4;105;7;28.212813048742273;52.55681445726494;2127.7502794810066;4048.4764943490354;76.9008158657876;10000
B;84;5;30.2581270350473;47.04982486355493;90.61294836827031;192.58934253432182;63.84152269206257;638
Fe;115;0.005;2.596629419186357;25.076044928725093;122.90278228650604;490.12028266753714;47.55546043826383;1320
Cu;93;0.1;4.008523418546298;19.043236800241495;77.72587307387916;408.1547369767176;34.07795018193669;626
Al;94;1;13.56080139870017;18.1742445213035;23.38739545122038;128.6842785888906;22.78768764390683;121
Zn;18;0.5;0.6981416040384456;11.61789181762505;52.7042557502049;453.6473275663433;22.537642031211654;200
NO2;111;1;8.564046802280265;11.45329898250996;58.75789803499255;513.0216029872287;14.342551162739655;250
Mn;105;0.2;2.58796436328106;4.426973490879417;9.858762833915046;222.69758005613457;6.265982618477775;77.10000000000001
Ni;87;0.2;1.1453092431046223;1.6166164604332622;2.1773891099218843;134.68804526079933;2.087923677761902;13.799999999999999
Mo;10;0.5;0.5112136348117321;0.7794221319515592;1.3174390139796057;169.02766292778097;1.0476306290913864;5
