analyte,unit,mean_tap,mean_rain,significance
N,mgL,2.1069158082490835,NA,NA
NH4,mgL,0.06141366768010061,0.01,lower
NO2,mgL,0.010025301885317068,NA,NA
P,mgL,0.08429477829763864,NA,NA
K,mgL,2.5777627025937213,0.3822,lower
Ca,mgL,59.4759649122807,0.36,lower
Mg,mgL,11.24061403508772,0.1116,lower
S,mgL,13.205012068965516,NA,NA
B,mgL,0.053928611639327856,NA,NA
Fe,mgL,0.0324708190225123,NA,NA
Mn,mgL,0.003540684046540976,NA,NA
Cu,mgL,0.014718382596514756,NA,NA
Zn,mgL,0.015336431350701592,NA,NA
Ni,mgL,0.0019346031793173147,NA,NA
Mo,mgL,7.546464788284818e-4,NA,NA
Na,mgL,19.29346771456973,0.3588,lower
Cl,mgL,27.45268793765106,0.714,lower
TOC,mgL,1.4192284411571217,NA,NA
Al,mgL,0.017577082103353295,NA,NA
