Reference_ID,Treatment_ID,experiment,coupling,water_source,fish_species,plant_species,pH_Na,pH_K,pH_Ca,remineralization,fertilizer,chelator,plant_cultivation,group
Monsees2017,Exp2_aerated,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,-,0,-,Percids
Monsees2017,Exp2_unaerated,remineralisation,-,0,Nile tilapia,0,0,0,0,anaerobic,-,0,-,Percids
Delaide2018,AER,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,-,0,-,Percids
Goddek2018,pH+,remineralisation,-,0,African catfish,0,0,0,0,anaerobic,-,0,-,Silurids
Goddek2018,pH-,remineralisation,-,0,African catfish,0,0,0,0,anaerobic,-,0,-,Silurids
Goddek2018,Uliege_aerobic,remineralisation,-,0,Nile tilapia,0,0,0,0,aerobic,-,0,-,Percids
Seawright1998,1,aquaponics,permanent,0,Nile tilapia,Lactuca sativa longifolia,TRUE,FALSE,FALSE,0,Fertilizer,TRUE,0,Percids
Seawright1998,2,aquaponics,permanent,0,Nile tilapia,Lactuca sativa longifolia,TRUE,FALSE,FALSE,0,Fertilizer,TRUE,0,Percids
Seawright1998,3,aquaponics,permanent,0,Nile tilapia,Lactuca sativa longifolia,TRUE,FALSE,FALSE,0,Fertilizer,TRUE,0,Percids
Seawright1998,4,aquaponics,permanent,0,Nile tilapia,Lactuca sativa longifolia,TRUE,FALSE,FALSE,0,Fertilizer,TRUE,0,Percids
Shaw2022a,FM,aquaculture,-,0,Nile tilapia,0,0,0,0,0,-,0,-,Percids
Shaw2022a,BSF,aquaculture,-,0,Nile tilapia,0,0,0,0,0,-,0,-,Percids
Shaw2022a,PBM,aquaculture,-,0,Nile tilapia,0,0,0,0,0,-,0,-,Percids
Shaw2022a,PM,aquaculture,-,0,Nile tilapia,0,0,0,0,0,-,0,-,Percids
Panana2021,pH-Natural,remineralisation,-,well,Pikeperch,0,0,0,0,aerobic,0,0,-,Percids
Panana2021,pH-Induced,remineralisation,-,well,Pikeperch,0,0,0,0,aerobic,0,0,-,Percids
Goddek2016,AER,hydroponics,-,0,Nile tilapia,0,0,0,0,aerobic,0,0,-,Percids
